WespID	Nest1	Nest2	Distance
O18	524	961	45.18837673
B20	5	208	8.82963788
BR51	778	1016	15.98697986
D96	516	889	2.070115212
Y81	360	779	5.725136327
Y26	280	612	10.97175665
G28	211	723	1.744171153
BR58	644	798	4.512123782
BR58	798	924	4.594379391
W24	156	348	3.643123936
O52	574	691	13.41575231
O52	691	951	24.53120366
G32	608	1009	0.401756149
O69	613	815	2.551111518
W54	192	801	9.285792369
D99	707	858	2.341782442
W69	207	375	14.2588551
W94	225	441	5.019685746
W94	441	745	12.72976061
D37	712	847	2.062064256
W66	204	746	37.24564565
G64	604	750	54.89086374
D74	482	865	4.579350391
BR10	683	799	4.941705778
G37	91	131	2.301638544
G34	250	837	1.543016529
G34	837	874	1.789071268
W89	390	522	1.19080015
B93	102	724	44.39466797
B93	724	790	2.186801316
BR37	749	808	7.929419273
BR34	743	888	1.86560017
O62	589	896	9.076152544
D41	438	988	5.955278416
G36	97	794	0.23503404
G3	92	164	51.58302289
G3	164	287	48.42506551
G59	504	836	6.762933239
O73	618	737	4.299377279
B84	78	196	0.721006237
B84	196	968	4.575207652
D11	403	620	0.361199388
D11	620	959	0.409723076
D11	959	994	0.665324731
D5	392	831	2.866469957
D5	831	1003	10.98723828
W37	406	484	2.749722897
W37	484	596	2.561912176
O67	610	691	0.753236349
W43	54	186	35.29674281
W43	186	529	32.87847019
O97	664	767	0.409136895
G54	500	709	51.83374407
G54	709	838	2.366750087
O22	528	674	81.53279791
O22	674	730	1.851312237
O91	658	807	0.947523087
W99	230	739	7.663482824
W99	739	990	5.446093373
W29	161	191	0.126530627
O1	569	941	10.05537279
Y17	259	756	16.40136302
G23	286	344	3.623687759
Y98	383	614	3.836174785
BR35	747	875	3.350386397
BR35	875	950	1.969873095
W34	167	225	16.3841131
BR8	463	681	1.728404177
G22	132	180	1.387710702
G22	180	535	3.033656041
W96	566	867	0.613470457
G58	503	953	38.69941628
O43	560	859	0.827455134
G44	290	346	58.30113008
G44	346	637	4.993013219
G44	637	1010	6.557253468
BR33	742	814	2.121858854
D64	467	733	4.043074572
BR29	735	773	0.085146933
Y4	456	644	0.632537743
D10	402	605	2.221894913
Y43	303	555	23.08898735
W61	199	365	1.892260552
W61	365	716	2.974646197
BR16	805	813	6.284041771
O79	626	751	1.892199775
B78	72	768	25.90934727
O54	577	744	48.34356177
O54	744	841	9.224564159
BR14	693	811	1.522005254
W91	222	810	11.88085115
O92	659	974	7.731231528
O48	568	726	40.55105258
W18	563	677	40.44679964
G43	91	855	0.426825497
G43	855	1006	1.183750401
D20	411	897	3.028305306
B38	485	595	0.65672597
W75	217	426	0.309079277
O80	627	708	0.30454064
Y75	340	359	4.524214072
G41	341	649	2.130997185
G41	649	717	0.609476003
B30	45	355	31.31382342
D18	407	490	0.100498758
G71	719	892	5.481229423
W46	183	400	10.27997476
W42	176	368	0.632000795
W42	368	972	46.86389523
B88	81	1011	25.15113747
W49	186	189	2.754837386
W49	189	579	33.65383402
W93	223	335	6.762858716
W57	194	641	47.0670091
D12	401	632	6.253335826
O45	564	844	16.29306662
BR17	697	804	0.833088227
D72	478	647	37.66046024
D72	647	910	0.081467784
D45	440	645	11.88326908
B17	270	519	31.62482356
B17	519	789	56.23006029
O50	573	884	13.58769068
D49	455	593	13.17866461
Y99	384	694	3.575599674
D7	506	890	4.383836222
D7	890	985	2.460203447
G30	236	590	2.516340597
G30	590	833	2.126620793
G30	833	1012	20.41008584
B23	47	48	0.760978319
B23	48	155	33.38089995
Y16	257	964	13.20452347
D47	453	908	4.417637492
B37	540	868	5.042485894
G16	136	395	8.621097031
G57	502	917	1.01218378
B53	247	872	11.21736604
Y69	332	913	14.22815691
G51	449	673	1.587345271
G51	673	721	1.438776215
G51	721	926	1.172878937
B25	18	711	25.13002734
W98	429	787	0.835808584
G79	677	791	0.297026936
