Presence	NestID	EchtNest	Par	nrPar	Prey	pred	Cluster	Cluster_real	Date	DayCount	Day	x	y
1	1	0	0	0	0	0.648013448	3	0	28/06/2016	1	1	23253.494	197867.228
1	2	1	0	0	0	0.638085982	11	11	28/06/2016	1	1	23245.619	197864.259
1	3	0	0	0	0	0.697442468	11	0	28/06/2016	1	1	23244.699	197866.332
1	4	0	0	0	0	0.526833434	3	0	28/06/2016	1	1	23255.352	197874.529
1	5	1	1	1	3	0.494159632	11	11	28/06/2016	1	1	23239.572	197870.415
1	6	0	0	0	0	0.62120283	11	0	28/06/2016	1	1	23243.348	197864.423
1	7	0	0	0	0	0.732932382	3	0	28/06/2016	1	1	23250.061	197866.869
1	8	0	0	0	0	0.733084073	3	0	28/06/2016	1	1	23248.72	197866.958
1	9	0	0	0	0	0.564784292	4	0	28/06/2016	1	1	23282.941	197875.959
1	10	0	0	0	0	0.565419252	4	0	28/06/2016	1	1	23282.997	197875.728
1	11	0	0	0	0	0.731104162	3	0	28/06/2016	1	1	23250.096	197866.919
1	12	1	0	0	0	0.558147205	3	10	28/06/2016	1	1	23250.547	197868.092
1	13	1	0	0	0	0.825646183	3	10	28/06/2016	1	1	23256.358	197867.049
1	14	1	0	0	0	0.817707306	3	10	28/06/2016	1	1	23255.779	197867.479
1	15	0	0	0	0	0.634043947	11	0	28/06/2016	1	1	23239.683	197868.569
1	16	0	0	0	0	0.620517617	11	0	28/06/2016	1	1	23238.186	197869.009
1	17	0	0	0	0	0.611781416	11	0	28/06/2016	1	1	23242.837	197864.061
1	18	1	0	0	0	0.70594676	3	10	28/06/2016	1	1	23257.832	197866.355
1	19	0	0	0	0	0.623602411	11	0	28/06/2016	1	1	23243.509	197864.401
1	20	0	0	0	0	0.738485146	10	0	28/06/2016	1	1	23265.126	197877.994
1	21	0	0	0	0	0.740242797	10	0	28/06/2016	1	1	23264.883	197878.066
1	22	1	0	0	0	0.688895901	11	11	28/06/2016	1	1	23244.368	197864.926
1	23	1	0	0	0	0.669020613	11	11	28/06/2016	1	1	23243.702	197867.891
1	24	1	1	1	0	0.497709035	3	10	28/06/2016	1	1	23255.462	197875.77
1	25	0	0	0	0	0.621494824	11	0	28/06/2016	1	1	23239.488	197869.128
1	26	0	0	0	0	0.73018909	3	0	28/06/2016	1	1	23253.85	197866.423
1	27	1	0	0	0	0.723082984	10	11	28/06/2016	1	1	23264.598	197877.116
1	28	0	0	0	0	0.727230018	10	0	28/06/2016	1	1	23264.592	197877.269
1	29	0	0	0	0	0.621557887	11	0	28/06/2016	1	1	23243.431	197864.018
1	30	0	0	0	0	0.603487722	11	0	28/06/2016	1	1	23242.517	197865.24
1	31	0	0	0	0	0.638919307	11	0	28/06/2016	1	1	23245.199	197864.332
1	32	0	0	0	0	0.619209367	11	0	28/06/2016	1	1	23243.149	197864.141
1	33	0	0	0	0	0.613072059	11	0	28/06/2016	1	1	23242.517	197868.45
1	34	0	0	0	0	0.607790571	11	0	28/06/2016	1	1	23242.781	197865.242
1	35	0	0	0	0	0.564009998	11	0	28/06/2016	1	1	23244.428	197863.437
1	36	0	0	0	0	0.71096777	11	0	28/06/2016	1	1	23238.369	197868.276
1	37	0	0	0	0	0.577634201	11	0	28/06/2016	1	1	23239.81	197868.764
1	38	0	0	0	0	0.613090114	11	0	28/06/2016	1	1	23241.91	197866.747
