"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"choosers_on_followers"	"weight_day"
"1"	"Parameters CF 0 21_04_2020 21_17.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.475538225872829	8.31905388239294
"2"	"Parameters CF 1 21_04_2020 21_17.txt"	"CF"	"True"	"True"	"True"	"response_par"	0.51113160209959	11.9594985496184
"3"	"Parameters CF 10 21_04_2020 21_20.txt"	"CF"	"False"	"False"	"False"	"response_par"	0.561149123259623	6.07940417148442
"4"	"Parameters CF 100 21_04_2020 21_48.txt"	"CF"	"True"	"True"	"False"	"response_par"	0.573272360261053	15.870850445211
"5"	"Parameters CF 1000 21_04_2020 21_17.txt"	"CF"	"True"	"False"	"True"	"response_type2"	0.513134938888024	10.8757559328521
"6"	"Parameters CF 1001 21_04_2020 21_17.txt"	"CF"	"False"	"False"	"False"	"response_type2"	0.456862303822019	6.12962507215838
"7"	"Parameters CF 1002 21_04_2020 21_18.txt"	"CF"	"False"	"True"	"True"	"response_par"	0.537593825919116	7.23015172141936
"8"	"Parameters CF 1003 21_04_2020 21_18.txt"	"CF"	"False"	"True"	"True"	"response_type2"	0.467243678513753	13.6251047042165
"9"	"Parameters CF 1004 21_04_2020 21_18.txt"	"CF"	"True"	"True"	"True"	"response_par"	0.624986247554679	11.4825941312706
"10"	"Parameters CF 1005 21_04_2020 21_18.txt"	"CF"	"False"	"False"	"False"	"response_par"	0.856509164597873	16.1561289006771
"11"	"Parameters CF 1006 21_04_2020 21_19.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.439055195331036	15.3387041944832
"12"	"Parameters CF 1007 21_04_2020 21_19.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.540971418627136	12.7929285410439
"13"	"Parameters CF 1008 21_04_2020 21_19.txt"	"CF"	"False"	"True"	"False"	"response_type2"	0.533155637639308	11.4806858498872
"14"	"Parameters CF 1009 21_04_2020 21_19.txt"	"CF"	"False"	"False"	"True"	"response_type2"	0.453899805392781	10.4543924682395
"15"	"Parameters CF 101 21_04_2020 21_49.txt"	"CF"	"False"	"False"	"False"	"response_par"	0.484544945023501	3.56136525991969
"16"	"Parameters CF 1010 21_04_2020 21_20.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.535258873176519	7.58850965510128
"17"	"Parameters CF 1011 21_04_2020 21_20.txt"	"CF"	"False"	"False"	"False"	"response_type2"	0.507065377425229	9.4335072408582
"18"	"Parameters CF 1012 21_04_2020 21_20.txt"	"CF"	"False"	"False"	"True"	"response_par"	0.422078657421141	15.1479835130492
"19"	"Parameters CF 1013 21_04_2020 21_20.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.551459389432079	7.02457943982939
"20"	"Parameters CF 1014 21_04_2020 21_21.txt"	"CF"	"True"	"False"	"True"	"response_type2"	0.584900732692257	9.35488186635274
"21"	"Parameters CF 1015 21_04_2020 21_21.txt"	"CF"	"True"	"True"	"True"	"response_par"	0.252270968447667	9.69900324496178
"22"	"Parameters CF 1016 21_04_2020 21_21.txt"	"CF"	"False"	"True"	"True"	"response_type2"	0.538935882195919	10.6091783980876
"23"	"Parameters CF 1017 21_04_2020 21_21.txt"	"CF"	"False"	"True"	"False"	"response_type2"	0.638271381717594	16.7095275434636
"24"	"Parameters CF 1018 21_04_2020 21_22.txt"	"CF"	"True"	"True"	"True"	"response_par"	0.599174487676644	7.52383502129587
"25"	"Parameters CF 1019 21_04_2020 21_22.txt"	"CF"	"False"	"False"	"False"	"response_type2"	0.656267482861522	15.2555692883534
"26"	"Parameters CF 102 21_04_2020 21_49.txt"	"CF"	"False"	"True"	"True"	"response_type2"	0.760244796376399	8.82894019059115
"27"	"Parameters CF 1020 21_04_2020 21_22.txt"	"CF"	"True"	"False"	"True"	"response_par"	0.440867692525968	12.4110833688534
"28"	"Parameters CF 1021 21_04_2020 21_22.txt"	"CF"	"True"	"True"	"True"	"response_type2"	0.559213921990774	9.43169785226428
"29"	"Parameters CF 1022 21_04_2020 21_23.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.398388674164353	12.8147838696533
"30"	"Parameters CF 1023 21_04_2020 21_23.txt"	"CF"	"False"	"True"	"False"	"response_type2"	0.402259089593481	7.55532789289258
"31"	"Parameters CF 1024 21_04_2020 21_23.txt"	"CF"	"False"	"True"	"False"	"response_type2"	0.44511035434994	11.5814976354982
"32"	"Parameters CF 1025 21_04_2020 21_23.txt"	"CF"	"True"	"True"	"False"	"response_par"	0.586471695085691	9.14427172086652
"33"	"Parameters CF 1026 21_04_2020 21_24.txt"	"CF"	"False"	"True"	"True"	"response_par"	0.60151285376902	7.28418001635742
"34"	"Parameters CF 1027 21_04_2020 21_24.txt"	"CF"	"False"	"True"	"False"	"response_par"	0.477679084944454	14.7499391841251
"35"	"Parameters CF 1028 21_04_2020 21_24.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.561789782131912	10.3154307371743
"36"	"Parameters CF 1029 21_04_2020 21_25.txt"	"CF"	"False"	"False"	"False"	"response_type2"	0.628432630580375	15.2301823072994
"37"	"Parameters CF 103 21_04_2020 21_49.txt"	"CF"	"False"	"False"	"False"	"response_par"	0.59330526324728	8.10197838286061
"38"	"Parameters CF 1030 21_04_2020 21_25.txt"	"CF"	"False"	"True"	"False"	"response_type2"	0.408361292998585	4.46926093199476
"39"	"Parameters CF 1031 21_04_2020 21_25.txt"	"CF"	"True"	"False"	"True"	"response_type2"	0.668704797608008	7.72568003336079
"40"	"Parameters CF 1032 21_04_2020 21_25.txt"	"CF"	"False"	"True"	"False"	"response_type2"	0.572649453898941	9.74065256555185
"41"	"Parameters CF 1033 21_04_2020 21_26.txt"	"CF"	"True"	"True"	"True"	"response_type2"	0.681546215528903	17.7145362466625
"42"	"Parameters CF 1034 21_04_2020 21_26.txt"	"CF"	"True"	"True"	"False"	"response_type2"	0.580547845499652	12.7298786420466
"43"	"Parameters CF 1035 21_04_2020 21_26.txt"	"CF"	"True"	"True"	"True"	"response_type2"	0.444103522208266	10.0534283967391
