"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"bi_CA"	"weight_day"
"1"	"Parameters bimodal 0 28_11_2019 09_15.txt"	"bimodal"	"True"	"True"	"False"	"response_type2"	"False"	8.7183472433409
"2"	"Parameters bimodal 1 28_11_2019 09_15.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"True"	4.19840592696023
"3"	"Parameters bimodal 10 28_11_2019 09_18.txt"	"bimodal"	"True"	"True"	"True"	"response_type2"	"False"	7.52429897685845
"4"	"Parameters bimodal 100 28_11_2019 09_52.txt"	"bimodal"	"False"	"False"	"True"	"response_type2"	"False"	7.73985658714305
"5"	"Parameters bimodal 1000 28_11_2019 09_15.txt"	"bimodal"	"True"	"True"	"False"	"response_par"	"True"	19.3233494779371
"6"	"Parameters bimodal 1001 28_11_2019 09_16.txt"	"bimodal"	"False"	"False"	"True"	"response_type2"	"False"	11.3474044137994
"7"	"Parameters bimodal 1002 28_11_2019 09_17.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"False"	11.1406864772407
"8"	"Parameters bimodal 1003 28_11_2019 09_17.txt"	"bimodal"	"False"	"True"	"True"	"response_par"	"False"	10.1462544652419
"9"	"Parameters bimodal 1004 28_11_2019 09_18.txt"	"bimodal"	"True"	"True"	"True"	"response_par"	"False"	9.53606135033094
"10"	"Parameters bimodal 1005 28_11_2019 09_19.txt"	"bimodal"	"False"	"False"	"False"	"response_par"	"False"	9.08846371222978
"11"	"Parameters bimodal 1006 28_11_2019 09_20.txt"	"bimodal"	"False"	"False"	"True"	"response_type2"	"False"	8.97731458546984
"12"	"Parameters bimodal 1007 28_11_2019 09_22.txt"	"bimodal"	"False"	"False"	"True"	"response_par"	"False"	5.04694346518847
"13"	"Parameters bimodal 1008 28_11_2019 09_22.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"True"	4.80089745348078
"14"	"Parameters bimodal 1009 28_11_2019 09_22.txt"	"bimodal"	"False"	"True"	"False"	"response_type2"	"False"	9.94312182742671
"15"	"Parameters bimodal 101 28_11_2019 09_52.txt"	"bimodal"	"False"	"False"	"False"	"response_par"	"True"	10.0437157318144
"16"	"Parameters bimodal 1010 28_11_2019 09_22.txt"	"bimodal"	"True"	"True"	"True"	"response_type2"	"False"	8.91501452923927
"17"	"Parameters bimodal 1011 28_11_2019 09_22.txt"	"bimodal"	"False"	"False"	"False"	"response_type2"	"True"	10.606001146394
"18"	"Parameters bimodal 1012 28_11_2019 09_22.txt"	"bimodal"	"True"	"False"	"False"	"response_par"	"True"	10.4214695846815
"19"	"Parameters bimodal 1013 28_11_2019 09_23.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"False"	9.26440459851279
"20"	"Parameters bimodal 1014 28_11_2019 09_24.txt"	"bimodal"	"False"	"False"	"False"	"response_par"	"False"	6.68339809134459
"21"	"Parameters bimodal 1015 28_11_2019 09_24.txt"	"bimodal"	"False"	"True"	"False"	"response_type2"	"True"	4.23716928531757
"22"	"Parameters bimodal 1016 28_11_2019 09_25.txt"	"bimodal"	"True"	"True"	"True"	"response_par"	"False"	3.41273685373239
"23"	"Parameters bimodal 1017 28_11_2019 09_25.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"True"	7.65648679292602
"24"	"Parameters bimodal 1018 28_11_2019 09_25.txt"	"bimodal"	"True"	"False"	"True"	"response_type2"	"True"	7.55501804348562
"25"	"Parameters bimodal 1019 28_11_2019 09_25.txt"	"bimodal"	"True"	"False"	"False"	"response_type2"	"True"	10.2154641746026
"26"	"Parameters bimodal 102 28_11_2019 09_52.txt"	"bimodal"	"True"	"True"	"True"	"response_type2"	"False"	14.4429821099883
