"pf"	"scenario"	"active"	"CA_w_env"	"CA_day"	"response_func"	"weight_day"
"1"	"Parameters conspec-attraction 0 10_06_2020 21_07.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	6.49135124082211
"2"	"Parameters conspec-attraction 1 10_06_2020 21_07.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_type2"	11.9134513567555
"3"	"Parameters conspec-attraction 10 10_06_2020 21_07.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_par"	15.8497425936443
"4"	"Parameters conspec-attraction 100 10_06_2020 21_12.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_type2"	9.48318507660386
"5"	"Parameters conspec-attraction 1000 10_06_2020 21_08.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_par"	15.6916770511625
"6"	"Parameters conspec-attraction 1001 10_06_2020 21_08.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	10.0200476362044
"7"	"Parameters conspec-attraction 1002 10_06_2020 21_08.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_par"	12.6888093938176
"8"	"Parameters conspec-attraction 1003 10_06_2020 21_08.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_type2"	6.31602619605313
"9"	"Parameters conspec-attraction 1004 10_06_2020 21_08.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_type2"	7.93446234876385
"10"	"Parameters conspec-attraction 1005 10_06_2020 21_08.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_type2"	10.494122522027
"11"	"Parameters conspec-attraction 1006 10_06_2020 21_08.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_type2"	4.75029851420308
"12"	"Parameters conspec-attraction 1007 10_06_2020 21_08.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_par"	12.0153040109436
"13"	"Parameters conspec-attraction 1008 10_06_2020 21_08.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_type2"	11.5825613425778
"14"	"Parameters conspec-attraction 1009 10_06_2020 21_08.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_type2"	10.5631073927075
"15"	"Parameters conspec-attraction 101 10_06_2020 21_12.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_par"	9.89914523148161
"16"	"Parameters conspec-attraction 1010 10_06_2020 21_08.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_par"	11.4746598882202
"17"	"Parameters conspec-attraction 1011 10_06_2020 21_08.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	2.75494384774234
"18"	"Parameters conspec-attraction 1012 10_06_2020 21_08.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	8.89125789309009
"19"	"Parameters conspec-attraction 1013 10_06_2020 21_08.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_type2"	9.93855304483986
"20"	"Parameters conspec-attraction 1014 10_06_2020 21_09.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_par"	5.82679224908469
"21"	"Parameters conspec-attraction 1015 10_06_2020 21_09.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_par"	4.728154580271
"22"	"Parameters conspec-attraction 1016 10_06_2020 21_09.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_par"	19.2458544700365
"23"	"Parameters conspec-attraction 1017 10_06_2020 21_09.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	4.71036816034179
"24"	"Parameters conspec-attraction 1018 10_06_2020 21_09.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	3.39876581517016
"25"	"Parameters conspec-attraction 1019 10_06_2020 21_09.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_type2"	6.33546653271152
"26"	"Parameters conspec-attraction 102 10_06_2020 21_12.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_type2"	8.70403374139511
"27"	"Parameters conspec-attraction 1020 10_06_2020 21_09.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_type2"	10.3061057889739
"28"	"Parameters conspec-attraction 1021 10_06_2020 21_09.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_type2"	10.0958469250139
"29"	"Parameters conspec-attraction 1022 10_06_2020 21_09.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_par"	9.55334057165794
"30"	"Parameters conspec-attraction 1023 10_06_2020 21_09.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	8.13429376585405
"31"	"Parameters conspec-attraction 1024 10_06_2020 21_09.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	9.17148801365197
"32"	"Parameters conspec-attraction 1025 10_06_2020 21_09.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_type2"	10.0491857731033
"33"	"Parameters conspec-attraction 1026 10_06_2020 21_09.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_type2"	7.7515899952583
"34"	"Parameters conspec-attraction 1027 10_06_2020 21_10.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_par"	11.8796685886499
"35"	"Parameters conspec-attraction 1028 10_06_2020 21_10.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	10.7551525227156
"36"	"Parameters conspec-attraction 1029 10_06_2020 21_10.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_type2"	15.3042810214729
"37"	"Parameters conspec-attraction 103 10_06_2020 21_12.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	11.3837841546682
"38"	"Parameters conspec-attraction 1030 10_06_2020 21_10.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	13.4521122814022
"39"	"Parameters conspec-attraction 1031 10_06_2020 21_10.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_type2"	13.276680581902
"40"	"Parameters conspec-attraction 1032 10_06_2020 21_10.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_par"	9.29930118179719
"41"	"Parameters conspec-attraction 1033 10_06_2020 21_10.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_par"	12.1977709942677
"42"	"Parameters conspec-attraction 1034 10_06_2020 21_10.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_par"	12.3355346619431
"43"	"Parameters conspec-attraction 1035 10_06_2020 21_10.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_par"	6.49456526397748
"44"	"Parameters conspec-attraction 1036 10_06_2020 21_10.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	13.2617515119748
"45"	"Parameters conspec-attraction 1037 10_06_2020 21_10.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_type2"	7.28989342964785
"46"	"Parameters conspec-attraction 1038 10_06_2020 21_10.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	10.2100564958555
"47"	"Parameters conspec-attraction 1039 10_06_2020 21_10.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_type2"	7.9867865598348
"48"	"Parameters conspec-attraction 104 10_06_2020 21_12.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_type2"	9.79851314365746
"49"	"Parameters conspec-attraction 1040 10_06_2020 21_10.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_type2"	7.02189408586656
"50"	"Parameters conspec-attraction 1041 10_06_2020 21_10.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_type2"	8.5379220785731
"51"	"Parameters conspec-attraction 1042 10_06_2020 21_10.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_type2"	10.6497942622379
"52"	"Parameters conspec-attraction 1043 10_06_2020 21_10.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_type2"	11.7375922501418
"53"	"Parameters conspec-attraction 1044 10_06_2020 21_10.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_type2"	8.8761326635184
"54"	"Parameters conspec-attraction 1045 10_06_2020 21_10.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_par"	8.24014343959149
"55"	"Parameters conspec-attraction 1046 10_06_2020 21_10.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_par"	7.91296650264252
"56"	"Parameters conspec-attraction 1047 10_06_2020 21_10.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_par"	7.76306088186426
"57"	"Parameters conspec-attraction 1048 10_06_2020 21_10.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_type2"	10.5916552038205
"58"	"Parameters conspec-attraction 1049 10_06_2020 21_10.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_type2"	15.5778047292552
"59"	"Parameters conspec-attraction 105 10_06_2020 21_12.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_type2"	10.6213389575981
"60"	"Parameters conspec-attraction 1050 10_06_2020 21_11.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_par"	10.6255814483789
"61"	"Parameters conspec-attraction 1051 10_06_2020 21_11.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_par"	10.8427758309315
"62"	"Parameters conspec-attraction 1052 10_06_2020 21_11.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_type2"	9.70112222772962
"63"	"Parameters conspec-attraction 1053 10_06_2020 21_11.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_par"	13.243700825595
"64"	"Parameters conspec-attraction 1054 10_06_2020 21_11.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_par"	4.19506898907392
"65"	"Parameters conspec-attraction 1055 10_06_2020 21_11.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_par"	9.39456938695621
"66"	"Parameters conspec-attraction 1056 10_06_2020 21_11.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_par"	13.1482089048816
"67"	"Parameters conspec-attraction 1057 10_06_2020 21_11.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	15.414745358951
"68"	"Parameters conspec-attraction 1058 10_06_2020 21_11.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	9.9266907482618
"69"	"Parameters conspec-attraction 1059 10_06_2020 21_11.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_par"	7.94573333571857
"70"	"Parameters conspec-attraction 106 10_06_2020 21_12.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_par"	18.1804773746945
"71"	"Parameters conspec-attraction 1060 10_06_2020 21_11.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_type2"	12.570277960407
"72"	"Parameters conspec-attraction 1061 10_06_2020 21_11.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_par"	10.1297261910263
"73"	"Parameters conspec-attraction 1062 10_06_2020 21_11.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_par"	6.23378043548155
"74"	"Parameters conspec-attraction 1063 10_06_2020 21_11.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	8.70638173155022
"75"	"Parameters conspec-attraction 1064 10_06_2020 21_11.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	9.91458332749738
"76"	"Parameters conspec-attraction 1065 10_06_2020 21_11.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_type2"	13.8778561482397
"77"	"Parameters conspec-attraction 1066 10_06_2020 21_12.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_par"	10.8704761992666
"78"	"Parameters conspec-attraction 1067 10_06_2020 21_12.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_par"	5.11863466259823
"79"	"Parameters conspec-attraction 1068 10_06_2020 21_12.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_type2"	9.16103850790907
"80"	"Parameters conspec-attraction 1069 10_06_2020 21_12.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_par"	6.65944473569807
"81"	"Parameters conspec-attraction 107 10_06_2020 21_13.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_par"	7.71846157867156
"82"	"Parameters conspec-attraction 1070 10_06_2020 21_12.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_type2"	13.7323973461554
"83"	"Parameters conspec-attraction 1071 10_06_2020 21_12.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_par"	9.11366066915679
"84"	"Parameters conspec-attraction 1072 10_06_2020 21_12.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_par"	6.84809254148278
"85"	"Parameters conspec-attraction 1073 10_06_2020 21_12.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_par"	7.61968253794378
"86"	"Parameters conspec-attraction 1074 10_06_2020 21_12.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	12.266590122816
"87"	"Parameters conspec-attraction 1075 10_06_2020 21_12.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_par"	12.0998095113404
"88"	"Parameters conspec-attraction 1076 10_06_2020 21_12.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_par"	12.9655729668488
"89"	"Parameters conspec-attraction 1077 10_06_2020 21_12.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_type2"	11.969980849766
"90"	"Parameters conspec-attraction 1078 10_06_2020 21_12.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_par"	7.28462497464925
"91"	"Parameters conspec-attraction 1079 10_06_2020 21_12.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_type2"	9.19057770448045
"92"	"Parameters conspec-attraction 108 10_06_2020 21_13.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_par"	7.23754587942227
"93"	"Parameters conspec-attraction 1080 10_06_2020 21_13.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_par"	9.13676973631108
"94"	"Parameters conspec-attraction 1081 10_06_2020 21_13.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_par"	8.28372933590095
"95"	"Parameters conspec-attraction 1082 10_06_2020 21_13.txt"	"conspec-attraction"	"True"	"True"	"False"	"response_par"	12.1988505740073
"96"	"Parameters conspec-attraction 1083 10_06_2020 21_13.txt"	"conspec-attraction"	"True"	"True"	"True"	"response_type2"	14.1604139517592
"97"	"Parameters conspec-attraction 1084 10_06_2020 21_13.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_type2"	8.76594186516576
"98"	"Parameters conspec-attraction 1085 10_06_2020 21_13.txt"	"conspec-attraction"	"True"	"False"	"False"	"response_type2"	5.93705254098258
"99"	"Parameters conspec-attraction 1086 10_06_2020 21_13.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_par"	9.69891159405169
"100"	"Parameters conspec-attraction 1087 10_06_2020 21_13.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_par"	6.5079457363504
"101"	"Parameters conspec-attraction 1088 10_06_2020 21_14.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_type2"	9.99382990538617
"102"	"Parameters conspec-attraction 1089 10_06_2020 21_14.txt"	"conspec-attraction"	"False"	"False"	"True"	"response_type2"	14.3044521703041
"103"	"Parameters conspec-attraction 109 10_06_2020 21_13.txt"	"conspec-attraction"	"False"	"False"	"False"	"response_type2"	5.78655782550514
"104"	"Parameters conspec-attraction 1090 10_06_2020 21_14.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_type2"	13.417483397296
"105"	"Parameters conspec-attraction 1091 10_06_2020 21_14.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_par"	9.33985543617507
"106"	"Parameters conspec-attraction 1092 10_06_2020 21_14.txt"	"conspec-attraction"	"False"	"True"	"True"	"response_par"	13.8876908200097
"107"	"Parameters conspec-attraction 1093 10_06_2020 21_14.txt"	"conspec-attraction"	"False"	"True"	"False"	"response_type2"	6.79974845500149
"108"	"Parameters conspec-attraction 1094 10_06_2020 21_14.txt"	"conspec-attraction"	"True"	"False"	"True"	"response_par"	14.2146036085201
