"","ID","X","Y","RealNest","InsPixel","NDVIPixel","Harkwesp_S","W01count","W01mean","W01stdev","NDVI01coun","NDVI01mean","NDVI01stde","Sl01count","Sl01mean","Sl01stdev","W02count","W02mean","W02stdev","NDVI02coun","NDVI02mean","NDVI02stde","Sl02count","Sl02mean","Sl02stdev","W05count","W05mean","W05stdev","NDVI05coun","NDVI05mean","NDVI05stde","Sl05count","Sl05mean","Sl05stdev","W1count","W1mean","W1stdev","NDVI1count","NDVI1mean","NDVI1stdev","Sl1count","Sl1mean","Sl1stdev","W2count","W2mean","W2stdev","NDVI2count","NDVI2mean","NDVI2stdev","Sl2count","Sl2mean","Sl2stdev","W3count","W3mean","W3stdev","NDVI3count","NDVI3mean","NDVI3stdev","Sl3count","Sl3mean","Sl3stdev","W5count","W5mean","W5stdev","NDVI5count","NDVI5mean","NDVI5stdev","Sl5count","Sl5mean","Sl5stdev","W10count","W10mean","W10stdev","NDVI10coun","NDVI10mean","NDVI10stde","Sl10count","Sl10mean","Sl10stdev","Presence","SlPixel"
"1",1,23253.494,197867.228,0,460938.53125,0.04536,24.23815,6,462900.677083333,2088.1648412394,241,0.047049318061546,0.029231231088376,6,23.6245476404826,4.40236343355095,26,463110.78125,3007.65466267936,997,0.095586142907201,0.077529405604221,26,24.8035214497493,4.74574900544796,154,460870.238230519,4501.07702363335,6245,0.110088131601234,0.075221535870492,154,23.738068029478,4.99670919901533,600,461605.170208333,4441.97387567782,25007,0.122838602753649,0.068224299451531,600,22.7611240784327,5.29716449715186,2406,458890.568903263,8730.18317859009,99986,0.139854027330054,0.071927968807264,2406,20.8242793369818,7.62441566633092,5402,456838.237793873,10601.5736051153,224937,0.131193232776033,0.073101696485146,5403,19.919171112821,8.66403286881859,15029,450810.228734863,17214.3675644386,624757,0.141998031378521,0.068645669184911,15029,18.2401221162073,9.33264914887247,60098,446919.210777345,20968.6705696062,2499088,0.168756008382164,0.070066864655903,60099,16.0955070589109,11.2053955735292,1,NA
"2",10,23282.997,197875.728,0,463204.625,0.05333,27.42727,5,463774.78125,1242.84081954785,251,0.081935891696063,0.037894152201111,5,28.187565612793,0.565832315261892,26,465398.411057692,1991.74373554301,1000,0.121333884011954,0.056790526095298,26,29.2462563881507,2.7847751466508,152,466160.455386513,3187.47568996833,6246,0.141216089337375,0.054243145454832,152,29.3588859846717,6.34389771550967,604,464406.142177152,5658.83648656677,24985,0.142858829618929,0.041190968507217,604,26.9037898005239,9.28323068286071,2401,462020.249153998,9239.06941935086,99948,0.142326008426811,0.041703856690111,2401,25.9479161165794,9.77932218808651,5401,459966.355501296,10589.0032589922,224914,0.145583524581511,0.043509486969982,5401,24.6759237310573,10.6918468533137,15023,459115.35923043,9118.82783945436,624790,0.143219750478487,0.044312188604395,15023,22.073022055299,10.5314459643603,60090,454963.057438842,14221.2006849841,2499121,0.14497021906518,0.050555128183022,60091,23.3922916701348,13.3154824389336,1,NA
"3",100,23255.002,197865.832,0,463570.25,0.01879,19.53291,7,463584.763392857,2233.38671049616,256,0.029998185713339,0.01022058893275,7,19.9018061501639,3.0286529378363,24,463785.580729167,2590.75976491423,1006,0.057930094348248,0.030403365220108,24,20.9806485176086,4.62884748440872,151,463151.535596027,4111.19562091759,6257,0.083069370576089,0.06035764588036,151,20.6892673353486,5.19777443652444,601,462348.766430948,3923.4962545986,24981,0.095850088204024,0.0736337023054,601,20.7018764245133,5.30370626075484,2404,461183.566347754,4656.82264071245,99966,0.106239813029437,0.072757283930715,2404,19.6248043176537,5.9011455529927,5411,458637.548125347,6755.92082624228,224922,0.117250154531932,0.072424245989528,5411,17.8870877590402,7.1816510001517,15022,454040.948827137,9949.79150753656,624799,0.140692481426727,0.068013757334816,15022,15.5766286961174,8.56862819441325,60100,444936.945421173,27275.5762325176,2499126,0.177855133192015,0.079686345067931,60100,17.2167485479946,14.4531631727903,1,NA
"4",1000,23274.933,197883.576,1,452367.75,0.02033,9.85131,7,449886.633928571,1812.56606997146,252,0.03281051474106,0.010713427569878,7,10.0956931114197,3.39332472218601,24,448559.415364583,3317.57473753309,1003,0.029375606414965,0.013276731667005,24,10.6770338118076,4.02988061952656,147,450049.203656463,10288.9769814694,6247,0.040663889815869,0.029807892561543,147,15.7080254668281,11.6810599228258,601,454314.939267887,13357.1344614032,24991,0.060731765523383,0.046535061771471,601,22.2000219016623,13.10330628258,2406,456522.516378325,11844.5095645341,99967,0.092891198470048,0.065462129550574,2406,31.6537145686368,14.3274032840539,5411,448314.582257208,21805.8879277959,224914,0.118242194190508,0.066641376922598,5411,35.1153246593484,14.6654973627835,15025,445106.469898087,22463.3109696525,624785,0.135805300441186,0.064700927147515,15025,35.311447625672,15.6356367494166,60106,450964.003501106,17137.5807873686,2499117,0.132290741034242,0.060182857817746,60106,29.4446186366978,13.3831921901609,1,NA
"5",1001,23264.771,197878.492,0,467349.8125,0.10553,26.7042,6,466247.46875,836.320911293426,249,0.085095513256708,0.054834017504174,6,25.3327029546102,1.43462148421353,26,466257.376201923,2249.31614077432,999,0.09601298130273,0.057751306173544,26,26.2566955272968,3.76155433698661,152,466437.665501645,1951.95604005883,6250,0.103550253369287,0.060803799888647,152,26.7641450605894,3.71561975738674,600,465190.856354167,3580.73830244949,24987,0.109826728250848,0.055511335403068,601,25.6416393421256,5.26220950622952,2404,463337.661189684,6496.22109639465,99975,0.116989473283678,0.05320292210234,2404,26.2205155139755,7.69307396616771,5408,460759.402858034,7117.11228474692,224912,0.118643656687814,0.052817383378833,5408,25.0426539394718,8.84255090830152,15028,452291.069738571,16849.3608293375,624767,0.137005241006009,0.062934594214089,15028,24.4869927680608,10.6093580280057,60096,443351.692216542,24434.1254219645,2499073,0.165995243429083,0.071546815299315,60096,24.5208396740787,14.4184426244317,1,NA
"6",1002,23274.721,197883.444,0,452630.40625,0.06888,20.16863,6,451731.135416667,1731.2556967854,253,0.03982163441327,0.029673321122676,6,18.9321881930033,2.50696983671436,25,453578.0725,4414.02693412857,1007,0.038783281885713,0.031316370586561,25,21.3999729919434,7.12152231166492,152,455362.654194079,7732.11028120778,6243,0.039590310568844,0.033204156006357,152,24.042512738391,13.892947363399,599,456883.126199917,11283.4367928023,24985,0.070040815386941,0.055285435851945,599,26.1324567213679,14.0444256504391,2407,456828.965504258,12104.5027293954,99957,0.09550554952766,0.06453605607778,2407,32.4105610287828,14.1040349276777,5409,450177.173616889,20215.6659329641,224909,0.11688130549964,0.066138113331619,5409,35.233531449039,14.4728556163372,15030,445826.118770792,22350.9955402539,624783,0.134975462917831,0.064345801088664,15030,35.7159172693928,15.5497145024417,60104,451028.587350675,17177.9253467212,2499136,0.132938661360392,0.060430187203422,60105,29.5390161148257,13.3534009180755,1,NA
"7",1003,23280.693,197883.718,1,447287.15625,0.12755,26.72784,6,448623.9375,1556.55999286672,246,0.090887802071885,0.042247970142713,6,27.292457262675,1.34457669872851,23,451270.907608696,3477.76838514048,996,0.088882027391903,0.04123569418592,23,27.9470216502314,2.8738204221767,152,454240.436883224,4382.65059643477,6248,0.099528552161459,0.039281599830658,152,29.4344994017952,3.44800637018805,602,454286.116227159,5004.62976023996,25003,0.112479535538509,0.047343378331752,602,30.2602089409812,5.76882407585335,2403,452073.901308261,9952.26025817671,99976,0.122239218857837,0.051714101900992,2403,30.5817510046862,8.75577341408871,5410,448686.456371303,13369.4190318341,224932,0.129336952739099,0.052172500535404,5410,31.9405573971831,12.4403202039029,15021,445923.678656131,17489.8160495251,624754,0.132035973656373,0.053735512243584,15021,29.0075272813625,12.8459972183013,60102,449249.623396996,17659.2417129263,2499078,0.132811895108112,0.058496317388076,60102,26.220711659876,13.1879713880201,1,NA
"8",1004,23304.774,197888.344,0,444040.5625,0.07056,26.48944,6,444398.75,5096.08956199685,248,0.09094698063188,0.054822026743022,6,27.6088965733846,4.76077013677222,22,441032.757102273,7206.3462321465,998,0.131025613362123,0.054788237726447,22,27.8630792877891,6.69099375751956,150,435586.860416667,8934.31454314006,6254,0.131446404630272,0.064878836649799,150,28.8821580791473,5.6287300495001,601,436292.024854409,11406.0182640561,24993,0.127511164153352,0.063795372628941,601,29.56962474293,9.16399476133625,2405,434248.250584719,17124.206711176,99950,0.14622121913561,0.06208765140218,2405,26.4443583539983,11.8124277168053,5412,431516.686671401,27368.2959398095,224904,0.161737717502461,0.060896348495988,5412,27.4163135657705,13.7699306000083,15020,427681.615536576,38722.6372247363,624773,0.177706931285787,0.066002867411878,15020,31.2410227712313,24.0842898354372,58164,419519.784587075,51988.7279110463,2499072,0.213218045643018,0.100346408680079,58178,31.4273935085598,34.3809340043856,1,NA
"9",1005,23270.724,197893.479,0,459067,0.08707,30.07722,6,456061,4937.76941976571,250,0.067884321756661,0.050315547193899,6,29.6279058456421,1.2520337097933,22,455041.791193182,6037.82838339278,998,0.069203430675213,0.053735572005228,22,28.066990592263,3.60128201293476,149,448303.17932047,11004.683917848,6247,0.117324326023232,0.0672707834059,149,22.7299458676537,7.41709578403881,599,437076.941673623,23863.2819577277,24994,0.130133071756679,0.066187132329617,599,25.7317448004657,10.7021237694317,2343,420047.571206119,46777.6561112787,99948,0.158237623098268,0.110936023385286,2347,32.5159366331204,37.0328795842334,4675,421626.165944184,46245.9763237543,224922,0.179462921147651,0.147422016368067,4685,28.8914397004574,29.5224297676158,11316,425351.909808982,44008.0636725038,624777,0.19813273460828,0.167267475217539,11333,27.308864579458,22.8827094636577,40658,426418.696188327,40531.915781971,2301987,0.208210189435028,0.153369694613193,40690,30.2377832281015,21.0843827762302,1,NA
"10",1006,23317.483,197898.832,1,454994.84375,0.1676,12.51577,5,455376.91875,2277.12446432241,250,0.147256894305348,0.055584812100266,5,11.8211095809937,1.19921040946138,25,455286.35125,3983.29782339529,1001,0.137198221112893,0.073723356314581,25,11.9158925437927,2.97220113709909,153,455227.233047386,4881.20920730272,6248,0.137188059027413,0.06517276627521,153,13.0729659554226,3.95800403925346,603,457540.372305141,4488.05585377919,24995,0.134865760773815,0.059213100361634,603,15.7214636510087,3.86065074848631,2403,442896.419228568,25161.7109613389,99962,0.128861642783512,0.062751981173051,2403,15.0441258430134,7.6267109532313,4838,436970.686763642,26644.2594619244,224905,0.127078321850924,0.068824370805792,4839,15.128041596052,8.65704360565845,11286,432906.849980064,24012.9954677229,624751,0.124203906877967,0.078667117477439,11296,14.0410073403409,8.91746455035787,33725,425805.732853039,45838.6765302794,2110118,0.146464006689366,0.102733761169398,33734,22.3183026292012,33.0574105558529,1,NA
